"BehaviorSpace results (NetLogo 6.2.0)"
"draft-adjusting.nlogo"
"virus-1"
"09/05/2021 05:50:16:705 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","no-of-nodes","average-node-degree","rural-pop","urban-pop","initial-outbreak-area","initial-outbreak-size","prob-infected","prob-recovered","prob-resistant","tourist-rate","[step]","%-sum-total-pop-i","%-sum-total-pop-i-urban","%-sum-total-pop-i-rural","%-sum-total-pop-r","%-sum-total-pop-r-urban","%-sum-total-pop-r-rural","mean-total-pop-i-%","mean-total-pop-i-%-urban","mean-total-pop-i-%-rural","mean-total-pop-r-%","mean-total-pop-r-%-urban","mean-total-pop-r-%-rural","var-total-pop-r-%","var-total-pop-r-%-urban","var-total-pop-r-%-rural"
"15","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03737040021488047","0.037537971665346184","0.03694932206108527","0.9077383830244427","0.9073622787880609","0.9086834681033751","0.03723180031761382","0.03759958818298681","0.036640141577665965","0.9078972845705143","0.9073610837520752","0.9087598684958295","9.345202969395209E-6","6.289336559381476E-6","1.3509080302408876E-5"
"17","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03709002805406784","0.037505407726430386","0.03552781757692027","0.9082070900280541","0.9079395109478211","0.9092134340319095","0.036721881523372885","0.03730721469212056","0.03563483420998437","0.9085044030015751","0.9082356934532637","0.9090034350198682","1.192483921559067E-5","1.0321670134347334E-5","1.5164818426047108E-5"
"18","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03704343275771847","0.0369048184538708","0.03739299503331091","0.9087231815803244","0.9088158668795697","0.9084894446338564","0.03701964365178949","0.03682880343875922","0.0373492767470236","0.9088387205768161","0.9089976365071454","0.9085642294244288","1.2157941964836732E-5","1.1834996458733966E-5","1.3181259330537147E-5"
"19","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03706099290780142","0.03711495414116202","0.0369249213247415","0.9084936170212766","0.9080961153701392","0.9094959788201209","0.037190231502240136","0.03706135956261647","0.03737065221771328","0.9089824271334455","0.9080927875808005","0.9102279225071483","1.8773276189530445E-5","1.0381075047221454E-5","2.867434278132583E-5"
"20","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03687086092715232","0.0365825098963527","0.03765257639059556","0.9087030905077262","0.9090744266159007","0.9076964037027935","0.03670810403440619","0.03672674438983328","0.03668014350126556","0.9090249757845403","0.9090075140709174","0.9090511683549737","1.9068591870231886E-5","9.43105624770175E-6","3.4562283028012314E-5"
"21","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03672242874845105","0.03692274278060832","0.0362875498536317","0.9092286245353159","0.90899629867603","0.9097330006483428","0.036325333502500765","0.03680775057085358","0.03577399971009753","0.9098325919376158","0.9091676092340718","0.9105925721702383","1.778952069939792E-5","1.6532341043727286E-5","1.8768767641673077E-5"
"22","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03700931770363691","0.0373676199410469","0.03633318581383039","0.9089510069131349","0.9085629147295378","0.9096833537257352","0.0369901042872602","0.037492442226038945","0.03637613569541949","0.9091304128071772","0.9084373354676261","0.9099775073332952","1.5708086316290313E-5","1.1141204725364317E-5","2.0578170008417634E-5"
"23","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.037145473574045004","0.03760513312847277","0.036042446830274945","0.9081371009942438","0.9074457792917855","0.9097960381772413","0.03707143928432624","0.03747351467693849","0.036376945424359625","0.9084097999421201","0.9075679619588906","0.909863883731335","1.157022334370119E-5","6.6793853690375495E-6","1.724094003573351E-5"
"24","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03703918322295806","0.03705269199149979","0.03700585511461483","0.9087058498896248","0.9090144100265244","0.9079445868891355","0.03688676976135239","0.03678870933855696","0.03703386039554557","0.908617276523139","0.9089669814934219","0.9080927190677145","1.0032721660419712E-5","1.1530130240508035E-5","7.71172167762314E-6"
"25","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.036954770755886","0.03684642495051417","0.03714878533759834","0.9091604708798018","0.9089074494278955","0.9096135558053082","0.036256529562255876","0.03681002801871165","0.035623959897735015","0.911369459507053","0.9090444377065223","0.914026627279088","1.548824409964653E-4","2.0610686338173497E-5","3.010538652758941E-4"
