"BehaviorSpace results (NetLogo 6.2.0)"
"draft-adjusting.nlogo"
"virus-3"
"09/05/2021 06:01:08:731 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","no-of-nodes","average-node-degree","rural-pop","urban-pop","initial-outbreak-area","initial-outbreak-size","prob-infected","prob-recovered","prob-resistant","tourist-rate","[step]","%-sum-total-pop-i","%-sum-total-pop-i-urban","%-sum-total-pop-i-rural","%-sum-total-pop-r","%-sum-total-pop-r-urban","%-sum-total-pop-r-rural","mean-total-pop-i-%","mean-total-pop-i-%-urban","mean-total-pop-i-%-rural","mean-total-pop-r-%","mean-total-pop-r-%-urban","mean-total-pop-r-%-rural","var-total-pop-r-%","var-total-pop-r-%-urban","var-total-pop-r-%-rural"
"3","60","10","100","10000","rural-area","6","0.7","0.2","0.2","0.05","100","0.07284039675383228","0.07288244613571512","0.07274400562081285","0.9058972046889089","0.9058222208791825","0.9060690924564337","0.07283445743017708","0.07300599419460607","0.07262480138476382","0.9058800193725475","0.905857145371761","0.9059079764846193","1.6880046876364848E-5","1.139470391085358E-5","2.4278995042230785E-5"
"4","60","10","100","10000","rural-area","6","0.7","0.2","0.2","0.05","100","0.07309106830122591","0.07332284223070183","0.07254252611511286","0.9055720957384705","0.9052686649587484","0.9062902290661452","0.07249697930131614","0.07324150686500266","0.07152336633341837","0.9060502095183037","0.9053101659135302","0.9070179588476228","1.4581839587965601E-5","9.02255191019855E-6","2.0784548820888976E-5"
"2","60","10","100","10000","rural-area","6","0.7","0.2","0.2","0.05","100","0.0729531914893617","0.07327249022164277","0.0722211843825892","0.9054581560283688","0.904970664928292","0.9065757519148141","0.07269557956048413","0.07309052316090922","0.07214265851988896","0.9058670046124409","0.9052984785894068","0.9066629410446885","1.1033032785218314E-5","1.0151744107925553E-5","1.160995834140023E-5"
"1","60","10","100","10000","rural-area","6","0.7","0.2","0.2","0.05","100","0.07289929078014185","0.07289445469654879","0.07291123293603535","0.9055290780141844","0.9055150121364544","0.9055638120921626","0.07273585837358558","0.07276141341312752","0.07270008131822685","0.9057105806515546","0.9055349569575105","0.9059564538232167","1.2917586415212056E-5","9.138821294307644E-6","1.870111688377642E-5"
"5","60","10","100","10000","rural-area","6","0.7","0.2","0.2","0.05","100","0.07245767659077641","0.07250632260276908","0.07235385600585491","0.9062346760070052","0.9062754511552146","0.9061476534626293","0.07108593091521781","0.07272815750378007","0.06893840383786713","0.9077768348717615","0.9059584319900659","0.9101547463324403","1.603087899586367E-4","1.0039168254164717E-5","3.5469943968084966E-4"
"8","60","10","100","10000","rural-area","6","0.7","0.2","0.2","0.05","100","0.07289653035935564","0.07327811157649641","0.07202904282396844","0.9057125154894672","0.9050078728918269","0.9073144514414935","0.07278479259642373","0.07323782150636861","0.07226704527077245","0.9056618741892083","0.9051428011907163","0.9062551004731997","1.570503275346657E-5","1.251136268865843E-5","1.9269223123895436E-5"
"6","60","10","100","10000","rural-area","6","0.7","0.2","0.2","0.05","100","0.07308890679559495","0.07322293891852806","0.07269392644735866","0.9056540424388934","0.9053828969000587","0.9064530834225619","0.07281069440317488","0.07311599125728008","0.07231956468135349","0.9061046867630022","0.9054361649064429","0.9071801349670325","9.46452980271433E-6","4.675579685422261E-6","1.5770397812974402E-5"
"7","60","10","100","10000","rural-area","6","0.7","0.2","0.2","0.05","100","0.07327169274537695","0.07330465818614441","0.07315671879987233","0.9051754385964912","0.9050944144473934","0.9054580274497287","0.07309149905571811","0.07324070869822258","0.07274334322320763","0.9053623548543779","0.9049836103466355","0.9062460920391104","1.0169705594928065E-5","6.795985507934192E-6","1.772321105736171E-5"
"9","60","10","100","10000","rural-area","6","0.7","0.2","0.2","0.05","100","0.07322241681260945","0.07354702163802947","0.07232811249821892","0.9051722124927029","0.9051729968213301","0.9051700516237929","0.0718553433446068","0.07331372722165483","0.06994822596692865","0.8897968193105512","0.9053190569517848","0.8694985085489377","0.01367151747320163","5.798958972866988E-6","0.03150094612285398"
"11","60","10","100","10000","rural-area","6","0.7","0.2","0.2","0.05","100","0.07304436660828956","0.07284668730753503","0.07350455578652886","0.9057559836544075","0.9060729217955886","0.9050181648631321","0.07273874501571861","0.0726522505037462","0.07285185322368254","0.9059570646798112","0.9062194060802369","0.9056140028484848","1.3347295642527686E-5","1.3849606964459507E-5","1.3002138152247939E-5"
