"BehaviorSpace results (NetLogo 6.2.0)"
"draft-adjusting.nlogo"
"virus-2"
"09/05/2021 05:41:34:709 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","no-of-nodes","average-node-degree","rural-pop","urban-pop","initial-outbreak-area","initial-outbreak-size","prob-infected","prob-recovered","prob-resistant","tourist-rate","[step]","%-sum-total-pop-i","%-sum-total-pop-i-urban","%-sum-total-pop-i-rural","%-sum-total-pop-r","%-sum-total-pop-r-urban","%-sum-total-pop-r-rural","mean-total-pop-i-%","mean-total-pop-i-%-urban","mean-total-pop-i-%-rural","mean-total-pop-r-%","mean-total-pop-r-%-urban","mean-total-pop-r-%-rural","var-total-pop-r-%","var-total-pop-r-%-urban","var-total-pop-r-%-rural"
"2","60","10","100","10000","rural-area","6","0.7","0.2","0.55","0.05","100","0.07734200743494424","0.07724606677932304","0.07752974691080965","0.9093432465923172","0.909272617481709","0.9094814556979418","0.07706819429480681","0.07716273256526746","0.0769601505571375","0.9097365604936237","0.9093873765745106","0.910135627829753","2.124203987569867E-5","9.629417876004987E-6","3.505213054536629E-5"
"3","60","10","100","10000","rural-area","6","0.7","0.2","0.55","0.05","100","0.07761529480443666","0.07776434312203734","0.07727136692314376","0.9088207822533567","0.908642481497132","0.909232209918616","0.07788354072378283","0.07755903145607927","0.07830789899693362","0.9081826452369636","0.9088882303218826","0.9072599570489918","7.625293139901678E-5","8.274818851210719E-6","1.674716731617682E-4"
"1","60","10","100","10000","rural-area","6","0.7","0.2","0.55","0.05","100","0.07760745416290953","0.07793911946017615","0.07696452071612157","0.9091042981665164","0.9087520901771924","0.9097870536384592","0.07728322668984257","0.07784734206685634","0.07659375234015903","0.9093882751780311","0.9088713433871227","0.9100200807002525","1.6928482970313053E-5","1.5500786156434945E-5","1.8583050639849344E-5"
"4","60","10","100","10000","rural-area","6","0.7","0.2","0.55","0.05","100","0.07737306843267108","0.07784667059329184","0.07630214895072171","0.9093681015452538","0.9088452538244799","0.9105503761563659","0.07727574663621516","0.07783813461177494","0.07643216467287557","0.9096197629899925","0.908948251576343","0.9106270301104674","1.010779912614845E-5","8.109430627539327E-6","1.182376497388241E-5"
"5","60","10","100","10000","rural-area","6","0.7","0.2","0.55","0.05","100","0.07776524308353479","0.07794178001876173","0.07728059233028851","0.9087859253290357","0.9086465173545967","0.9091686451249447","0.07734057794835426","0.07774935887388201","0.07668297385076618","0.9092212254753345","0.908809352831143","0.9098838032072938","2.1473378580816408E-5","1.641130350103908E-5","2.9988570531095368E-5"
"8","60","10","100","10000","rural-area","6","0.7","0.2","0.55","0.05","100","0.07738803727081454","0.07790850025127433","0.07633198586984231","0.9092365494439435","0.9089265202096346","0.9098656178302196","0.0767971853622485","0.07797573484882613","0.07535673598976479","0.909642279330689","0.908776313838794","0.9107006815985607","1.8902867227485014E-5","1.4571464621427762E-5","2.284576569633531E-5"
"6","60","10","100","10000","rural-area","6","0.7","0.2","0.55","0.05","100","0.0773338566195709","0.07751468495749571","0.07687540468041809","0.9092490842490842","0.908843810427232","0.9102765701600222","0.07615741054180182","0.07753464328675079","0.07377855398234444","0.9107351305371155","0.9087656491120361","0.9141369620895256","1.519869002604226E-4","1.1886196164743008E-5","3.869260578117231E-4"
"7","60","10","100","10000","rural-area","6","0.7","0.2","0.55","0.05","100","0.07755164498852334","0.07767485585761909","0.07707418965795919","0.9090793165008926","0.908977736138428","0.9094729512986609","0.07717731828303394","0.07764188239154046","0.07631455636723604","0.9095838792409692","0.9089496273430421","0.910761775622834","1.6835471152420783E-5","1.1328193057780075E-5","2.5899824042581564E-5"
"9","60","10","100","10000","rural-area","6","0.7","0.2","0.55","0.05","100","0.0767553735926305","0.07730441607608671","0.07596141006809988","0.9100341180484476","0.9096412659572012","0.9106022165843237","0.07654784120401013","0.0772654103924653","0.07587656680190687","0.9103678530612265","0.9096518383545926","0.9110376732706579","2.2484091569076733E-5","2.2837173514749262E-5","2.194481589724473E-5"
"10","60","10","100","10000","rural-area","6","0.7","0.2","0.55","0.05","100","0.07802101576182137","0.07812883638815382","0.07769936403483275","0.9085143023934618","0.9083787691600186","0.9089186266872842","0.07722141714087338","0.07834732748812955","0.07574907284061526","0.9093721119909347","0.9081901667418943","0.9109177327012177","3.398483732971481E-5","8.600754786587966E-6","6.446680604702248E-5"
